data_type,time_total,time_increment,time_iosix,sensor_data
obd,32.4261,0.0106,2021-12-06 12:01:23.426100,"{""aat"": 2}"
obd,32.4355,0.0094,2021-12-06 12:01:23.435500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,32.4456,0.0101,2021-12-06 12:01:23.445600,"{""e_load"": 79.216}"
obd,32.4555,0.0099,2021-12-06 12:01:23.455500,"{""c_temp"": 73}"
obd,32.4656,0.0101,2021-12-06 12:01:23.465600,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,32.4758,0.0102,2021-12-06 12:01:23.475800,"{""rpm"": 1406.0}"
obd,33.4156,0.0036,2021-12-06 12:01:24.415600,"{""veh_speed"": 46}"
obd,33.4254,0.0098,2021-12-06 12:01:24.425400,"{""aat"": 2}"
obd,33.4354,0.01,2021-12-06 12:01:24.435400,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,33.4454,0.01,2021-12-06 12:01:24.445400,"{""e_load"": 76.863}"
obd,33.4554,0.01,2021-12-06 12:01:24.455400,"{""c_temp"": 73}"
obd,33.4654,0.01,2021-12-06 12:01:24.465400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,33.4754,0.01,2021-12-06 12:01:24.475400,"{""rpm"": 1423.5}"
obd,34.4153,0.0033,2021-12-06 12:01:25.415300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,34.5152,0.0032,2021-12-06 12:01:25.515200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,34.612,0.0,2021-12-06 12:01:25.612000,"{""fli"": 28.627}"
obd,34.712,0.0,2021-12-06 12:01:25.712000,"{""odometer_km"": 148425.814}"
